company_name,registration_number,activity_code,report_year,file_name,target_bankrupt,label_source,altman_z_prime_score,altman_z_prime_zone,data_quality_score,current_ratio,quick_ratio,cash_ratio,debt_to_assets,debt_to_equity,roa,operating_margin,net_profit_margin,asset_turnover,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_to_liabilities,sales_to_assets
"""MEGAPROMET"" DRUŠTVO ZA TRGOVINU I USLUGE D.O.O BUDVA",2365928,4711,2025,megapromet.pdf,0,auto_altman_safe_zone,3.288,Safe zone,100,0.641,0.2885,0.1163,0.7577,3.1275,0.0781,0.0432,0.0287,2.7166,-0.1779,0.2423,0.1174,0.3197,2.7166
"DRUŠTVO ZA PROIZVODNJU,PROMET I USLUGE ""MESO-PROMET"" D.O.O. BIJELO POLJE",2063344,1011,2025,meso promet.pdf,,excluded_grey_zone,2.7508,Grey zone,100,1.86,1.025,0.0264,0.3868,0.6308,0.0567,0.0529,0.0408,1.3896,0.1932,0.3912,0.0735,1.5852,1.3896
"ZDRAVSTVENA USTANOVA APOTEKE CRNE GORE ""MONTEFARM""- PODGORICA",2017105,4773,2025,montefarm.pdf,0,auto_altman_safe_zone,4.2089,Safe zone,100,1.0281,0.7182,0.1718,0.8456,5.4776,0.0081,0.0025,0.002,4.0721,0.0229,0.0233,0.0103,0.1826,4.0721
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""MONTE PUT"" - PODGORICA",2462494,5221,2025,mote put.pdf,,excluded_grey_zone,1.288,Grey zone,80,0.9031,0.742,0.5813,0.8509,5.7082,0.1378,0.2461,0.2185,0.6306,-0.0194,0.1378,0.1552,0.1752,0.6306
"""MPM"" DRUŠTVO ZA TRGOVINU, ZASTUPANJE I POSREDOVANJE DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PODGORICA",2047861,4690,2025,mpm.pdf,,excluded_grey_zone,2.2821,Grey zone,100,1.0097,0.109,0.021,0.8629,6.2914,0.0738,0.0646,0.0422,1.7484,0.0054,0.1363,0.113,0.1589,1.7484
"DRUŠTVO ZA TELEKOMUNIKACIJE ""MTEL"" DOO PODGORICA",2655284,6120,2025,mtel.pdf,,excluded_grey_zone,1.4171,Grey zone,100,0.4419,0.3776,0.0038,0.4838,0.9374,0.1447,0.6623,0.5082,0.2847,-0.1648,0.2566,0.1885,1.0668,0.2847
"DRUŠTVO ZA TRGOVINU I USLUGE, EXPORT-IMPORT ""NELT MNE"" D.O.O. PODGORICA",2313707,4690,2025,nelt.pdf,0,auto_altman_safe_zone,3.0547,Safe zone,100,3.1365,2.7612,0.7606,0.2967,0.4219,0.002,0.058,0.0014,1.4708,0.4553,0.0,0.0853,2.3701,1.4708
"DRUŠTVO ZA PROMET, PROIZVODNJU I USLUGE ""OKOV"" D.O.O. - PODGORICA",2226782,4752,2025,okov.pdf,0,auto_altman_safe_zone,3.3498,Safe zone,100,2.6843,0.8777,0.0,0.2629,0.3566,0.1355,0.1922,0.1552,0.8731,0.2544,0.7048,0.1678,2.8039,0.8731
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROMET, IZGRADNJU I EKSPLOATACIJU MREŽE MOBILNIH TELEKOMUNIKACIJA ""ONE CRNA GORA"" DOO PODGORICA",2242974,6190,2025,one.pdf,,excluded_grey_zone,2.6314,Grey zone,100,3.2299,2.777,0.0,0.2489,0.3314,0.0907,0.2191,0.1899,0.4776,0.1482,0.5383,0.1046,3.0179,0.4776
POŠTA CRNE GORE AKCIONARSKO DRUŠTVO PODGORICA,2867940,5310,2025,posta.pdf,,excluded_grey_zone,2.2459,Grey zone,100,3.2082,3.1405,0.0,0.2187,0.2799,0.0094,0.0478,0.0201,0.4664,0.2206,0.0617,0.0223,3.5731,0.4664
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""SPORT VISION"" PODGORICA",3187608,4772,2025,sportvision.pdf,0,auto_altman_safe_zone,3.9979,Safe zone,100,4.7229,0.9736,0.6117,0.4982,0.9929,0.2595,0.18,0.1458,1.78,0.5313,0.498,0.3205,1.0071,1.78
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""TEHNO MAX"" - PODGORICA",2404281,4690,2025,tehnomax.pdf,0,auto_altman_safe_zone,5.0485,Safe zone,100,5.0037,1.6207,1.1392,0.1176,0.1333,0.069,0.0439,0.0701,0.984,0.3893,0.5937,0.0432,7.5004,0.984
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA TRANSPORT PUTNIKA I ROBE U VAZDUŠNOM SAOBRAĆAJU ""TOMONTENEGRO""",3344312,5110,2025,tomontenegro.pdf,0,auto_altman_safe_zone,3.3918,Safe zone,100,5.0536,4.4468,3.8651,0.2286,0.2963,0.0384,0.0278,0.0237,1.6209,0.3748,-0.0618,0.0451,3.3753,1.6209
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""VOLI TRADE"" D.O.O. ZA PROMET I USLUGE EXPORT- IMPORT - PODGORICA",2227312,4690,2025,voli.pdf,,excluded_grey_zone,2.2027,Grey zone,100,0.8656,0.2302,0.0471,0.6603,1.9434,0.0644,0.0639,0.0421,1.5296,-0.0609,0.2359,0.0978,0.5146,1.5296
"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""ZETAGRADNJA"" PODGORICA",2278383,4120,2024,zetagradnja.pdf,,excluded_grey_zone,1.92,Grey zone,100,6.0835,2.2824,2.0682,0.3211,0.4729,0.0622,0.29,0.3542,0.1755,0.3333,0.5427,0.0509,2.1145,0.1755
