file_name,company_name,registration_number,activity_code,report_year,target_bankrupt,altman_z_score,altman_z_zone,altman_z_prime_score,altman_z_prime_zone,data_quality_score,data_quality_label,warnings_count,total_assets,equity,total_liabilities,current_assets,short_term_liabilities,sales_revenue,operating_profit,net_profit,current_ratio,quick_ratio,cash_ratio,debt_to_assets,debt_to_equity,roa,operating_margin,net_profit_margin,asset_turnover,working_capital_to_assets,retained_earnings_to_assets,ebit_to_assets,equity_to_liabilities,sales_to_assets
crnagoraput.pdf,"""CRNAGORAPUT"" A.D. PODGORICA",02013703,4211,2025,,0.2935,Distress zone,0.5215,Distress zone,80,Dobar kvalitet ekstrakcije,1,32278348.0,-3764352,36042700,12913269.0,8437000,22433542,2253743,666981,1.5306,1.1012,2.2734,1.1166,-9.5747,0.0207,0.1005,0.0297,0.695,0.1387,-0.525,0.0698,-0.1044,0.695
dams co.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, PROMET I USLUGE ""DAMS CO"" BIJELO POLJE",03127575,8121,2025,,-17.3368,Distress zone,-13.6228,Distress zone,72,Dobar kvalitet ekstrakcije,2,5859.0,-20795,26654,5859.0,16654,15740,-21967,-21967,0.3518,0.3518,0.0001,4.5492,-1.2818,-3.7493,-1.3956,-1.3956,2.6865,-1.8425,-3.5492,-3.7493,-0.7802,2.6865
dmd delta.pdf,"DRUŠTVO ZA VELETRGOVINU,USLUGE,EXPORT-IMPORT ""DMD DELTA"" D.O.O. PODGORICA",02329115,4690,2025,,4.8905,Safe zone,4.0282,Safe zone,80,Dobar kvalitet ekstrakcije,1,26828963.0,16942655,9886308,19932623.0,9250068,58290857,2904105,2450066,2.1549,1.5656,0.3107,0.3685,0.5835,0.0913,0.0498,0.042,2.1727,0.3982,0.6119,0.1082,1.7137,2.1727
domaca trgovina.pdf,"""DOMAĆA TRGOVINA"" D.O.O. PODGORICA",02440261,4711,2025,,1.78,Distress zone,1.8566,Grey zone,100,Visok kvalitet ekstrakcije,0,92255783.0,28557459,63698324,24283585.0,34851313,159190008,6148346,4103964,0.6968,0.272,0.1766,0.6905,2.2305,0.0445,0.0386,0.0258,1.7255,-0.1145,-0.2109,0.0666,0.4483,1.7255
ell-mont.pdf,"D.O.O. ""ELL-MONT"" - ROŽAJE",02667380,4321,2025,,2.6236,Grey zone,2.1093,Grey zone,92,Visok kvalitet ekstrakcije,1,40246.0,16044,24202,38885.0,24202,47123,964,873,1.6067,0.6825,0.2191,0.6014,1.5085,0.0217,0.0205,0.0185,1.1709,0.3648,0.3852,0.024,0.6629,1.1709
epcg solar.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""EPCG-SOLAR-GRADNJA"" NIKŠIĆ",03384624,4321,2025,,-0.8681,Distress zone,1.2158,Grey zone,72,Dobar kvalitet ekstrakcije,2,1954703.0,-2573360,4528063,1194450.0,4020929,8153059,208875,254477,0.2971,0.2971,0.0,2.3165,-1.7596,0.1302,0.0256,0.0312,4.171,-1.446,-2.3652,0.1069,-0.5683,4.171
epcg.pdf,ELEKTROPRIVREDA CRNE GORE AD-NIKŠIĆ,02002230,3511,2025,,1.3595,Distress zone,0.9915,Distress zone,100,Visok kvalitet ekstrakcije,0,1319326485.0,915690490,403635995,141254424.0,192488578,397383191,-94135051,-92121426,0.7338,0.6289,0.0828,0.3059,0.4408,-0.0698,-0.2369,-0.2318,0.3012,-0.0388,-0.0147,-0.0714,2.2686,0.3012
farmegra.pdf,"DRUŠTVO ZA TRGOVINU,PROMET I USLUGE,""FARMEGRA"" D.O.O. PODGORICA",02281864,4646,2025,,3.9651,Safe zone,3.6029,Safe zone,100,Visok kvalitet ekstrakcije,0,25330258.0,7027726,18302532,24561112.0,18048006,66201965,3550937,2943314,1.3609,0.8434,0.2046,0.7226,2.6043,0.1162,0.0536,0.0445,2.6136,0.2571,0.2519,0.1402,0.384,2.6136
glosarij.pdf,"DRUŠTVO ZA TRGOVINU NA VELIKO FARMACEUTSKIM PROIZVODIMA ""GLOSARIJ"" D.O.O. - PODGORICA",02118912,4646,2025,,4.0987,Safe zone,3.5892,Safe zone,100,Visok kvalitet ekstrakcije,0,67221746.0,26841357,40380389,53970410.0,34408134,157468498,9210925,7648423,1.5685,1.0499,0.0272,0.6007,1.5044,0.1138,0.0585,0.0486,2.3425,0.291,0.3988,0.137,0.6647,2.3425
hotel products.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORONOŠĆU ""HOTEL PRODUCTS"" DOO - PODGORICA",03552454,4690,2025,,-3.1598,Distress zone,-2.1356,Distress zone,72,Dobar kvalitet ekstrakcije,2,51337.0,-24121,75458,0.0,71100,0,-10085,-14477,0.0,0.0,0.0,1.4699,-3.1283,-0.282,0.0,0.0,0.0,-1.385,-0.4699,-0.1964,-0.3197,0.0
idea.pdf,"PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE ""IDEA - CG"" D.O.O. - PODGORICA",02793962,4719,2025,,2.6107,Grey zone,2.4628,Grey zone,100,Visok kvalitet ekstrakcije,0,130021757.0,21958898,108062859,43566630.0,618664,273425073,5502556,1373027,70.4205,15.9343,0.0,0.8311,4.9211,0.0106,0.0201,0.005,2.1029,0.3303,-0.1058,0.0423,0.2032,2.1029
jrent.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""JRENT"" HERCEG NOVI",03663329,7711,2025,,-1007.2021,Distress zone,-797.3421,Distress zone,72,Dobar kvalitet ekstrakcije,2,36.0,-6141,6177,35.0,6177,0,-6142,-6142,0.0057,0.0057,0.0057,171.5833,-1.0059,-170.6111,0.0,0.0,0.0,-170.6111,-170.6111,-170.6111,-0.9942,0.0
kips.pdf,"""KIPS"" KVALITET I POSLOVNA SIGURNOST DRUŠTVO ZA PROIZVODNJU I PROMET ROBA I USLUGA D.O.O. PODGORICA",02047403,4673,2025,,9.2845,Safe zone,6.7532,Safe zone,100,Visok kvalitet ekstrakcije,0,72565306.0,65888543,6676763,41948988.0,5810813,83624410,8134186,6933247,7.2191,2.6699,1.1974,0.092,0.1013,0.0955,0.0973,0.0829,1.1524,0.498,0.8891,0.1121,9.8683,1.1524
kop 2025.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""CRNA GORA KOP 2025"" BAR",03746186,4120,2025,,-3256.3262,Distress zone,-2577.962,Distress zone,72,Dobar kvalitet ekstrakcije,2,11.0,-6070,6081,11.0,6081,0,-6070,-6070,0.0018,0.0018,0.0018,552.8182,-1.0018,-551.8182,0.0,0.0,0.0,-551.8182,-551.8182,-551.8182,-0.9982,0.0
lakovic.pdf,"""HARD DISCOUNT LAKOVIĆ"" D.O.O. - PODGORICA",02739500,4690,2025,,2.8515,Grey zone,2.5905,Grey zone,100,Visok kvalitet ekstrakcije,0,154011063.0,53336799,100674264,48892967.0,64411788,279081601,16775342,12537202,0.7591,0.2057,0.0358,0.6537,1.8875,0.0814,0.0601,0.0449,1.8121,-0.1008,0.3463,0.1089,0.5298,1.8121
limi pek.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""LIMI&PEK"" DOO PODGORICA",03681505,1071,2025,,1.7603,Distress zone,1.7778,Grey zone,92,Visok kvalitet ekstrakcije,1,21442.0,1980,19462,14942.0,19462,34250,1476,1343,0.7678,0.0507,0.0412,0.9077,9.8293,0.0626,0.0431,0.0392,1.5973,-0.2108,0.0923,0.0688,0.1017,1.5973
lob.pdf,"""LOB COMMPANY"" DOO ZA PROMET I USLUGE,EXPORT-IMPORT - PODGORICA",02335450,9200,2024,,4.0826,Safe zone,3.6926,Safe zone,100,Visok kvalitet ekstrakcije,0,14957396.0,5137713,9819683,8359681.0,6534150,31851093,4791840,2977240,1.2794,1.2721,1.1625,0.6565,1.9113,0.199,0.1504,0.0935,2.1295,0.122,0.3126,0.3204,0.5232,2.1295
lustica.pdf,"""LUŠTICA DEVELOPMENT""AD TIVAT",02744597,5510,2025,,0.4454,Distress zone,0.4443,Distress zone,100,Visok kvalitet ekstrakcije,0,285318604.0,91837800,193480804,101182990.0,141516908,86115792,7113711,567017,0.715,0.4978,0.0608,0.6781,2.1068,0.002,0.0826,0.0066,0.3018,-0.1414,-0.0383,0.0249,0.4747,0.3018
megapromet.pdf,"""MEGAPROMET"" DRUŠTVO ZA TRGOVINU I USLUGE D.O.O BUDVA",02365928,4711,2025,,3.419,Safe zone,3.288,Safe zone,100,Visok kvalitet ekstrakcije,0,25462430.0,6169042,19293388,8088377.0,12617614,69171901,2989912,1988222,0.641,0.2885,0.1163,0.7577,3.1275,0.0781,0.0432,0.0287,2.7166,-0.1779,0.2423,0.1174,0.3197,2.7166
meso promet.pdf,"DRUŠTVO ZA PROIZVODNJU,PROMET I USLUGE ""MESO-PROMET"" D.O.O. BIJELO POLJE",02063344,1011,2025,,3.3613,Safe zone,2.7508,Grey zone,100,Visok kvalitet ekstrakcije,0,65231282.0,39998896,25232386,27258191.0,14655146,90645223,4792206,3698590,1.86,1.025,0.0264,0.3868,0.6308,0.0567,0.0529,0.0408,1.3896,0.1932,0.3912,0.0735,1.5852,1.3896
montefarm.pdf,"ZDRAVSTVENA USTANOVA APOTEKE CRNE GORE ""MONTEFARM""- PODGORICA",02017105,4773,2025,,4.2717,Safe zone,4.2089,Safe zone,100,Visok kvalitet ekstrakcije,0,44350411.0,6846684,37503727,37239803.0,36223589,180597429,458620,357900,1.0281,0.7182,0.1718,0.8456,5.4776,0.0081,0.0025,0.002,4.0721,0.0229,0.0233,0.0103,0.1826,4.0721
mote put.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""MONTE PUT"" - PODGORICA",02462494,5221,2025,,1.4169,Distress zone,1.288,Grey zone,80,Dobar kvalitet ekstrakcije,1,43993429.0,6558176,37435253,7936035.0,8787678,27744174,6827664,6061023,0.9031,0.742,0.5813,0.8509,5.7082,0.1378,0.2461,0.2185,0.6306,-0.0194,0.1378,0.1552,0.1752,0.6306
mpm.pdf,"""MPM"" DRUŠTVO ZA TRGOVINU, ZASTUPANJE I POSREDOVANJE DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PODGORICA",02047861,4690,2025,,2.4122,Grey zone,2.2821,Grey zone,100,Visok kvalitet ekstrakcije,0,29904870.0,4101409,25803461,16949800.0,16787708,52284281,3379372,2207919,1.0097,0.109,0.021,0.8629,6.2914,0.0738,0.0646,0.0422,1.7484,0.0054,0.1363,0.113,0.1589,1.7484
mtel.pdf,"DRUŠTVO ZA TELEKOMUNIKACIJE ""MTEL"" DOO PODGORICA",02655284,6120,2025,,1.7082,Distress zone,1.4171,Grey zone,100,Visok kvalitet ekstrakcije,0,530187842.0,273657952,256529890,69176446.0,156543330,150930242,99963033,76703936,0.4419,0.3776,0.0038,0.4838,0.9374,0.1447,0.6623,0.5082,0.2847,-0.1648,0.2566,0.1885,1.0668,0.2847
nelt.pdf,"DRUŠTVO ZA TRGOVINU I USLUGE, EXPORT-IMPORT ""NELT MNE"" D.O.O. PODGORICA",02313707,4690,2025,,3.7191,Safe zone,3.0547,Safe zone,100,Visok kvalitet ekstrakcije,0,46853147.0,32950497,13902650,31316121.0,9984487,68912880,3994776,94085,3.1365,2.7612,0.7606,0.2967,0.4219,0.002,0.058,0.0014,1.4708,0.4553,0.0,0.0853,2.3701,1.4708
okov.pdf,"DRUŠTVO ZA PROMET, PROIZVODNJU I USLUGE ""OKOV"" D.O.O. - PODGORICA",02226782,4752,2025,,4.4004,Safe zone,3.3498,Safe zone,100,Visok kvalitet ekstrakcije,0,95444456.0,70353571,25090885,38689476.0,14413127,83335555,16018257,12932593,2.6843,0.8777,0.0,0.2629,0.3566,0.1355,0.1922,0.1552,0.8731,0.2544,0.7048,0.1678,2.8039,0.8731
one.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROMET, IZGRADNJU I EKSPLOATACIJU MREŽE MOBILNIH TELEKOMUNIKACIJA ""ONE CRNA GORA"" DOO PODGORICA",02242974,6190,2025,,3.5646,Safe zone,2.6314,Grey zone,100,Visok kvalitet ekstrakcije,0,137645255.0,103387206,34258049,29552805.0,9149756,65733373,14400416,12482809,3.2299,2.777,0.0,0.2489,0.3314,0.0907,0.2191,0.1899,0.4776,0.1482,0.5383,0.1046,3.0179,0.4776
posta.pdf,POŠTA CRNE GORE AKCIONARSKO DRUŠTVO PODGORICA,02867940,5310,2025,,3.0344,Safe zone,2.2459,Grey zone,100,Visok kvalitet ekstrakcije,0,49123166.0,38381325,10741841,15740891.0,4906527,22913097,1096001,461110,3.2082,3.1405,0.0,0.2187,0.2799,0.0094,0.0478,0.0201,0.4664,0.2206,0.0617,0.0223,3.5731,0.4664
propianolab.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""PROPIANOLAB"" TIVAT",03430677,5819,2025,,-41.507,Distress zone,-29.3482,Distress zone,72,Dobar kvalitet ekstrakcije,2,3054.0,-33162,36216,3053.0,36216,0,-11776,-11776,0.0843,0.0843,0.0784,11.8585,-1.0921,-3.8559,0.0,0.0,0.0,-10.8589,-10.8589,-3.8559,-0.9157,0.0
sportvision.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""SPORT VISION"" PODGORICA",03187608,4772,2025,,4.7748,Safe zone,3.9979,Safe zone,100,Visok kvalitet ekstrakcije,0,22167743.0,11123241,11044502,14940188.0,3163329,39459411,7103898,5753083,4.7229,0.9736,0.6117,0.4982,0.9929,0.2595,0.18,0.1458,1.78,0.5313,0.498,0.3205,1.0071,1.78
stadion.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""STADION"" PODGORICA",02077698,4619,2025,,299.8961,Safe zone,269.4684,Safe zone,80,Dobar kvalitet ekstrakcije,1,324862.0,20396119,-20071257,13509523.0,9129175,67168734,1997571,1552303,1.4798,0.9015,0.114,-61.7839,-0.9841,4.7783,0.0297,0.0231,206.7608,13.4837,41.0569,6.149,-1.0162,206.7608
summer zey.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""SUMMER ZEY"" BUDVA",03363376,7911,2025,,-218.7103,Distress zone,-160.1478,Distress zone,72,Dobar kvalitet ekstrakcije,2,466.0,-24054,24520,465.0,24520,0,-11849,-11849,0.019,0.014,0.014,52.618,-1.0194,-25.427,0.0,0.0,0.0,-51.6202,-51.6202,-25.427,-0.981,0.0
tehnomax.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""TEHNO MAX"" - PODGORICA",02404281,4690,2025,,6.9242,Safe zone,5.0485,Safe zone,100,Visok kvalitet ekstrakcije,0,66100832.0,58324620,7776212,32161405.0,6427554,65042433,2858443,4561050,5.0037,1.6207,1.1392,0.1176,0.1333,0.069,0.0439,0.0701,0.984,0.3893,0.5937,0.0432,7.5004,0.984
tomontenegro.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA TRANSPORT PUTNIKA I ROBE U VAZDUŠNOM SAOBRAĆAJU ""TOMONTENEGRO""",03344312,5110,2025,,4.1565,Safe zone,3.3918,Safe zone,100,Visok kvalitet ekstrakcije,0,36003955.0,27774951,8229004,16824882.0,3329293,58357516,1623697,1381029,5.0536,4.4468,3.8651,0.2286,0.2963,0.0384,0.0278,0.0237,1.6209,0.3748,-0.0618,0.0451,3.3753,1.6209
ukras 2025.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""UKRAS 2025"" BERANE",03793346,7410,2025,,-1442.4668,Distress zone,-1141.9388,Distress zone,72,Dobar kvalitet ekstrakcije,2,13.0,-3177,3190,13.0,3190,0,-3177,-3177,0.0041,0.0041,0.0041,245.3846,-1.0041,-244.3846,0.0,0.0,0.0,-244.3846,-244.3846,-244.3846,-0.9959,0.0
voli.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""VOLI TRADE"" D.O.O. ZA PROMET I USLUGE EXPORT- IMPORT - PODGORICA",02227312,4690,2025,,2.4168,Grey zone,2.2027,Grey zone,100,Visok kvalitet ekstrakcije,0,249643950.0,84814271,164829679,97927863.0,113136039,381866161,24420030,16066500,0.8656,0.2302,0.0471,0.6603,1.9434,0.0644,0.0639,0.0421,1.5296,-0.0609,0.2359,0.0978,0.5146,1.5296
ypour fortune.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""YOUR FORTUNE"" BUDVA",03606074,7911,2025,,,Unknown,,Unknown,16,Nizak kvalitet ekstrakcije,6,,-7994,7994,,7994,296,-4551,-4551,0.0,0.0,0.0,0.0,-1.0,0.0,-15.375,-15.375,0.0,0.0,0.0,0.0,-1.0,0.0
zetagradnja.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""ZETAGRADNJA"" PODGORICA",02278383,4120,2024,,2.7717,Grey zone,1.92,Grey zone,100,Visok kvalitet ekstrakcije,0,230724810.0,156643290,74081520,92025978.0,15127064,40501598,11745223,14346082,6.0835,2.2824,2.0682,0.3211,0.4729,0.0622,0.29,0.3542,0.1755,0.3333,0.5427,0.0509,2.1145,0.1755
